coment,manifest_atendimento
Atendimento ágil e eficiente.,elogio
Ótimo atendimento. Grato,elogio
Parabéns pela brevidade no atendimento.,elogio
"O profissional me informou que ainda não há solução para o meu problema. Para acesso ao correio pessoal, está sendo solicitada a senha várias vezes.",neutro
"MUITO BOM, RAPIDO E EFICIENTE",elogio
Faltou a chve para onde deve ser enviado o DIP solicitando o aumento da cota,neutro
Serviço realizado com presteza e a contento.,elogio
Serviço realizado com presteza e a contento.,elogio
Excelente atendimento da Técnica Jéssika...,elogio
o atendente demonstrou presteza e domínio e solucionando rapidamente.,elogio
"PARABÉNS, ATENDIMENTO MUITO RÁPIDO !",elogio
"Funcionario  muito  eficiente e prestativo , Agradecido.",elogio
muito bom,elogio
Ótimo atendimento. Grato,elogio
Atendente extremamente atenciosa.,elogio
O atendimento superou expectativa inicial.,elogio
PODERIA SER MAIS  RAPIDO O ATENDIMENTO,reclamação
otimo atendimento.,elogio
Excelente atendimento,elogio
Foi muito bem atendido pela tecnica e com muita clareza.,elogio
Atendimento rápido e eficiente!,elogio
Atendimento rapido e eficaz,elogio
Ótimo atendimento!,elogio
Na planilha aponta que os compradores podem atribuir o perfil de membros . Gostaria que pudessem ver a planilha comigo para tirar as dúvidas sobre isso . ,neutro
excelente atendimento.,elogio
O melhor atendimento que já recebi em oito anos de trabalho foi nesse chamado. Parabéns à atendente.,elogio
Muito Bom!,elogio
"Não foram removidos os acessos de nomes de outros empregados não relacionados no Botâo TIC aprovado:  ALEX MAGNO GERMANO  Valdeir Pereira de Souza Bessa  Paulo Rafael de Oliveira Alves  Mauricio Ferreira da Costa.  Meu entendimento era que tendo atualizado a lista de delegados e do gerente da chave de bandeja, os demais teriam o acesso retirado.",neutro
Excelente atendimento,elogio
Depende de minha gerencia verificar porque foi mudado minha chave de lotação,neutro
Aguardando conclusão final do chamado,neutro
"Muito bom, foi bem rápido o atendimento.",elogio
Atic está de parabens,elogio
"Atendimento muito bom, a pessoa que me atendeu esta de parabens!",elogio
o telefone ficou mudo eternamente e a operação remota ficou parada,neutro
ATENDIMENTO RÁPIDO E EFICIENTE.,elogio
atendente atenciosa e muito educada.,elogio
Demora para obter a resposta de acesso,reclamação
MUITO BOM O ATENDIMENTO E RAPIDO NA SOLUÇÃO,elogio
ATENDIMENTO EXCELENTE,elogio
excelente atendimento. Obrigada,elogio
"Gostaria de registrar o excelente atendimento da atendente Mariana, que não poupou esforços para que meu problema fosse resolvido",elogio
O técnico se mostrou solícito e competente na resoplução do problema apresentado,elogio
Atendente muito atenciosa e ágil na resolução do problema.,elogio
Excelente atendimento prestado pelo colega Tiago,elogio
Excelente Atendimento do técnico.,elogio
Perfeito.,elogio
Excelente agilidade no atendimento e solução do problema.,elogio
ATENDIMENTO RÁPIDO E EFICIENTE.,elogio
"Gostaria de registrar o excelente atendimento da atendente Mariana, que não poupou esforços para que meu problema fosse resolvido",elogio
Solicitação atendida em pouco tempo. Parabéns!,elogio
FICO SEMPRE MUITO SATISFEITO E NÃO FOI DIFERENTE AGORA.,elogio
Obrigado. ,elogio
"Gostaria de registrar o excelente atendimento da atendente Mariana, que não poupou esforços para que meu problema fosse resolvido",elogio
farei novo chamado para atendimento.,neutro
"A atendende demonstrou durante todo o atendimento, ser muito profissional. Agradeço pelo bom atendimento.",elogio
Ate o momento não.,neutro
Ótimo atendimento.,elogio
"ESSA EQUIPE É NOTA MIL ! MUITO OBRIGADO, ÓTIMA ATENDENTE.",elogio
Rápido e eficiente.,elogio
Fui atendido e meu problema resolvido !,neutro
Superou expectativa.,elogio
Muito Obrigada pelo atendimento...,elogio
Atendimento excelente,elogio
A atendente foi muito educada e prestativa. Fico grata pelo profissional demonstrado no atendimento.,elogio
muito satisfeitos pela rapidez na chegada ao local para atendimento do chamado,elogio
Ótimo Atendimento,elogio
"Todos os ramais já possuem tecnologia digital, se não estão em funcionamento é por conta de pendências da própria TIC",neutro
Muito obrigado pela gentileza!,elogio
"Excelente atendimento. Rápido, eficaz.",elogio
Atendimento muito bom.,elogio
"Rápido e agil, muito excelente o atendente.",elogio
"excelente atendimento , agradeço o pronto atendimento . ",elogio
O atendimento foi eficaz e realizado de forma muito gentil,elogio
"Apesar de todo a atenção recebida pelo atendente do TI, e conforme solicitado pela mesma, realizei vários testes tentando a captura das ligações, porém sem sucesso.  Ao usar "" *78 "", o que ouço é o sinal de ocupado.  Solicito auxílio, visto a minha real necessidade de ralizar a captura em momentos de ausências dos supervisores da gerência.  Mais uma vez obrigada! ",neutro
Excelente!,elogio
Excelente.,elogio
recebi orientação para procurar outro setor,neutro
Atendimento excelente de dona Sheila.,elogio
As descrições registradas do ocorrido estão muito sucintas e não representam exatamente o teor da solicitação nem da resposta.,neutro
"Fiquei bem decepcionada em saber que foi aberto outro chamado, o de número 000022235605, para remanejar o ramal. Sendo que o meu chamado aberto no dia 23/02 às 15:34, já havia pedido o remanejamento de ramal e micro. Além disso, foram abertos outros 2 chamados no nome da minha coordenadora, chave UQ1R para o mesmo serviço. Ou seja, quatro chamados abertos para APENAS a realização de UM serviço que já aviso sido solicitado anteriormente. Não concordo com a abertura dos outros 3 chamados.",reclamação
O SERVIÇO ERA NO SAP  ITEM 4 E LIGUEI OR ENGANO PARA 9. NÃO HOUVE SERVIÇO . ERA PARA CANCELAR CHAMADO E NÃO ENVIAR PESQUISA DE QUUAL SERVIÇO?,reclamação
Rápido e eficiente. Excelente atendimento.,elogio
Ótimo atendimento.,elogio
Destaque positivo para a atuação do profissional da TIC.,elogio
muito obrigado!,elogio
Atendimento muito bom e rápido.,elogio
MUITO BOM O ATENDENTE.,elogio
"Excelente atendimento, parabéns por terem desenvolvido a app Loja Petrobras, muito legal, ficou bem mais fácil de instalar os demais aplicativos",elogio
excelente como sempre!,elogio
Quero agradecer o pronto atendimento da funcionária Marcia. ,elogio
Responsabilidade e comprometimento!!! Parabéns!!!,elogio
Ótimo atendimento rápido e eficiente.,elogio
O atendimento foi excelente. Muito rápido e eficiente. Parabéns e obrigado à Priscila - ZRNX,elogio
Pronto atendimento,elogio
Atendente extremamente atenciosa e educada.,elogio
foi ótimo,elogio
excelente a atendente,elogio
excelente ! e rápido ! e claro !,elogio
Deu todo certo,neutro
"O atendente foi bem cordial e paciente. A princípio consegui acessar o HD mas depois que a maquina foi reiniciada, o problema persiste.",elogio
"Embora tenha sido solicitada prioridade em função do problema, a substituição do teclado demorou duas horas para ser efetuada.",reclamação
Pronto atendimento e muito eficiente.,elogio
atendimento muito eficiente e rapido,elogio
"Parabéns pela resiliência ao se depararem com uma adversidade e pelo conhecimento e competência em resolvê-la. Não fiquem satisfeitos com seus resultados, por melhores que eles sejam, continuem melhorando.",elogio
Não fui eu quem abriu esse chamado.,reclamação
A atendente demostrou certa impaciencia,reclamação
"As informações não foram enviadas na sua totalidade, sendo necessário abrir novo chamado para atendimento.",reclamação
"Muito rápido, parabéns!!!",elogio
Excelente atendimento do senhor Murilo.,elogio
A ligação demorou muito e meu problema não foi resolvido nem mesmo reencaminhado para resolver. ,reclamação
Excelente atendimento. 100% efetivo e rápido.,elogio
O atendente demorou 10 min para me dizer que a minha solicitação necessitava de aprovação gerencial.   Desconhecimento do Padrão de atendimento.,reclamação
Sem comentários.,neutro
Parabéns a equipe,elogio
OTIMO ATENDIMENTO. PARABENS!,elogio
"Não cabia ao técnico solucionar o problema, pois dependia de liberação gerencial local.",neutro
Chegada do atendimento presencial foi muito rápido,elogio
Serviço realizado com rapidez.,elogio
"Não é a primeira vez que peço ajuda para vídeo conferencia e não consigo suporte antecipado. Quando chega na hora, nunca é possível o atendimento ideal.",reclamação
Obrigado pela paciência e explicação primeiro acesso em qualquer empresa é dificil mesmo,elogio
Todas as informações solicitadas foram prestadas pela atendente Aline,neutro
"Muito bom, obrigado",elogio
Atendimento excelente !!! Cordial e competente !!! Parabéns !!,elogio
Excelente!!!,elogio
Atendimento 100%,elogio
muito bom e rapido,elogio
Rápido e eficiente,elogio
Atendimento excelente. ,elogio
O atendimento foi rápido e preciso.,elogio
so para informação la esta como inerario rlam,neutro
Atendimento rápido e satisfatório. Parabéns!,elogio
"Não fiz essa solicitação. Houve erro nesse chamando. Provavelmente encaminharam à pessoa errada, erro de digitação da chave.....",reclamação
Atendente não se identificou ao atender a ligação e se mostrou apressada. tive que solicitar que esperasse eu terminar a instalação para depois ela desligar.,reclamação
"Foi solicitado um problema no NOTES e limpeza do mesmo, mas o atendente recusou executar a limpeza dizendo a palavra NÃO, péssimo atendimento.",reclamação
Atendimento demorado,reclamação
-,neutro
"Fiz um chamado que o andamento levou a reinicialização da máquina, como estava demorando foi direcionado para equipe local. Trabalho de turno e não equipe local fora do HA. Quando consegui reiniciar a máquina não pude ser atendido pois havia um chamado direcionado... ",reclamação
Atendente muito eficiente em solucionar o problema.,elogio
O atendente Rhuam é muito atencioso e eficiente. Parabéns,elogio
"O analista foi atencioso, pró-ativo e demonstrou interesse em esclarecer minhas dúvidas. Parabéns pelo time excelente",elogio
"As soluções oferecidas para download de um pequeno vídeo de menos de 1 min para uso em DSMS - Diálogo Semanal de Segurança, Meio Ambiente e Saúde - do Dr. Drauzio Varella, geravam um custo muito maior do que o benefício. É um absurdo que só existam soluções caras para coisas tão pequenas. E ainda tive que gerar custo por chamada para ouvir que as soluções disponíveis eram pagas!!! Total absurdo.",reclamação
Segunda tentativa de solucionar o problema sem sucesso. Extremamente insatisfeito com o serviço.,reclamação
Excelente atendimento!,elogio
Ótimo atendimento. Bem atencioso.,elogio
O Atendimento foi excelente!!,elogio
Fui bem atendido porem o numero que me foi dado eu não consegui contato nem chama.(2132240881),neutro
Gostaria de excluir o acesso de uma pessoa que foi incluida (cc) no DIP indevidamente. A solução sugerida de cancelamento do DIP não exclui o acesso da pessoa em questão.,neutro
Gostaria de agradecer os ultimos 2 atendentes que ligaram com muito boa intenção de resolver o problema.,elogio
"Ao meu ver, a TI deveria acompanhar o chamado até seu encerramento, e não me retornar pedindo para que eu ligue para outra pessoa (agente de relacionamento local). Se assim for a regra, eliminem a instalçao de Softwares da área do botaão TI. (Queria instalar o PROGRID, do ibge)",reclamação
atendente muito cordial e seguro na resolução do problema,elogio
Atendimento eficiente.,elogio
Não entendi receber essa pesquisa de satisfação se a impressora continua sem funcionar...,reclamação
"Chamado aberto dia 14/01, somente hoje foi resolvido, extrema demora.",reclamação
Demora no atendimento. Foi necessário realizar várias solicitações até o atendimento.,reclamação
Problema resolvido com exatidão e eficiência. Grato.,elogio
"Atendimento excelente, rápido e eficaz. Obrigado.",elogio
A solução demorou muito.,reclamação
O Scannedr HP foi reinstalado e testado seu funcionamento. Obrigado!,elogio
"Não ,mas foi devido a minha senha estar expirada, como estava de férias fui orientado a reativa-la em uma unidade dentro da Petrobrás o que foi feito na área administrativa de Araças",neutro
Fui atendido otimamente e direcionado como estava de férias a reativar minha senha que estava expirada em uma unidade dentro da companhia o que foi feito na área administrativa de Araças.,neutro
O RAMAL 811 1441 AINDA ESTÁ APRESENTANDO PROBLEMAS.,neutro
"O problema já tinha sido resolvido por outro chamado (não por este). A atendente do chamado que resolveu o problema parecia estar mais preparada, pois não precisou encaminhar para mesa de nível 3. O retorno recebido hoje me chega muito depois da minha necessidade, apesar de eu ter reiterado, por duas vezes, a urgência da solução. Deixei de participar de uma reunião por este motivo.",reclamação
Ótimo atendimento.,elogio
"Aparentemente, apos uma atualização do servidor o novo produto de videocon parou de funcionar e assim ficou por varios dias. Digo aparentemente pois nao fui contatado com uma resposta conclusiva. Podem verificar que Eu é que entrei em contato por 2 vezes para saber do andamento. Os procedimentos de mudança foram seguidos? E as boas praticas? Parece que não ...",reclamação
Apenas lamentaram a situação e não tomaram nenhuma ação.,reclamação
O equipamento foi substituído pelo de ID NO00069767. ,neutro
Obrigada !,elogio
"Realizei o registro solicitando solução de problema no SABA e quando foram oferecer atenção já havia expirado o prazo para solucionar o problema...Entendo que minha solicitação não foi oferecida atenção desejada dentro do prazo, provocando assim aborrecimento e prejuizo de perda de tempo.",reclamação
"Foi feita uma solicitação no dia 12/02 pois logo apos esse dia haveria um feriado prolongado, porém o chamado só foi atendido após 3 reclamações com envolvimento da gerência local no dia 20/02 às 1930hs.",reclamação
"Foi disponibilizada um alternativa para consulta, porém, o problema de travamento devido à lentidão no acesso ao banco de dados é impossível de ser resolvido. Foi solicitado excluir o filtro que causa o problema, porém existem outras opções da lista que estão operacionais e não é possível remover apenas as pastas que geram problema. O chamado precisou ser fechado sem solução para o travamento do sistema com acordo das partes envolvidas.",reclamação
Excelente atendimento!!!,elogio
Excelente atendimento!!,elogio
Todas as minhas dúvidas foram esclarecidas,neutro
Equipe prestativa e eficaz no atendimento.,neutro
Problema continua sem solução,reclamação
Ótimo !,elogio
O chamado demorou a ser resolvido.,reclamação
Fui muito bem atendida. O funcionario Ricardo Gusmão avalio como ótimo profissional.,elogio
"o usuário BM52 é autenticado; mas, a máquina não reconhece o usuário como Administrador do sistema",neutro
O problema foi identificado e a finalização deverá acontecer pelo fiscal do contrato.   Quero deixar registrado nesta oportunidade a excelente atuação não só dessa equipe e principalmente ao técnico Robson pelo seu desempenho e capacidade emsolucionar o problema. Parabéns ao profissional.,elogio
Atendimento com atraso,reclamação
"Não resolvido satisfatoriamente, pois a grande lentidão torna pouco prático sua utilização.",reclamação
A excessiva lentidão na abertura do aplicativo torna pouco prática sua utilização.,reclamação
"Achei que demorou muito para efetuarem o primeiro contato, mas o atendimento foi excelente.",neutro
EXCELENTE ATENDIMENTO!,elogio
Excelente atendimento. Prestativo e interessado.,elogio
Operíodo de Urgência não foi observado.  o retorno do andamento da demanda não existiu.,reclamação
Precisa ser realizado um estudo para que as variaveis do arquivo de configuração não fique com a primeira busca para o servidor de buffer.,neutro
Muita demora.,neutro
Agradeço a todos pelo apoio.,elogio
"Não entraram em contato, depois de 2 dias o sistema voltou, até agora não sei o que aconteceu.",reclamação
Demorou para este chamado ser atendido.,reclamação
"O atendente foi muito educado.  Contudo, o problema não foi resolvido.  A TIC não soube explicar o porquê da duplicação dos dados e, para piorar, diz que não pode fazer nenhum tipo de ""limpeza"".  Entendo que o problema deveria ser repassado para um especialista.",reclamação
Ok. Solicitação atendida.,neutro
Objetivo e Eficaz.,neutro
Otimo atendimento.,elogio
"Foi relatada a criticidade do atendimento. Nenhum retorno, nenhuma satisfação.",reclamação
A atendente já esclareceu do que se trata o ocorrido e me passou as informações necessa´rias para qure essa pendência seja sanada. Estou agora no aguardo do cancelamento dos serviços móveis que estão em meu nome.,neutro
Demora no atendimento. Prazo não foi respeitado.,reclamação
100% !!,neutro
Só hoje dia 23.02.2015 voltou a funcionar.,reclamação
Apesar das ações tomadas o problema persiste.,reclamação
Excelente atendimento.,elogio
Não foi resolvido devido ao que buscava foi deletada da maquina fotografica,neutro
O atendente foi muito atencioso,elogio
Muito bom o atendimento.,elogio
"Excelente trabalho realizado por toda equipe, bem como do tempo de abertura do chamado até a solução do mesmo. ótimo trabalho, meu parabéns.",elogio
O problema era com a rede. O apoio local não entrou em contato.,neutro
Problema foi criado pela própria TIC sem o meu consentimento.,elogio
Nao foi atualizado,reclamação
É muito bom quando o atendimento é feito por profissional que conhece a funcionalidade.,elogio
sempre 10,neutro
"A demora no atendimento para a operação deve ter causado transtornos. Na minha área não houve tanto impacto, mas somnte havia necessidade de envio de dados para o PROCOP, iniciativa da presidência, cujo prazo de envio de informações foi dilatado em função da indisponibilidade do sistema.",reclamação
Atendimento com presteza e eficiência.,elogio
Até o momento a mesa de atendimento não normalizou a visualização dos contracheques.,neutro
"Os atendentes foram atenciosos, mas o serviço demorou muito para ser realizado.",reclamação
"Equipe sempre 10 para atender as minhas demandas, obrigado",elogio
"atendimento ok, rápido",elogio
Muito bom atendimento,elogio
"FUI ATENDIDA DE FORMA IMEDIATA E SATISFATÓRIA. PARABENS, PELO PRONTO ATENDIMENTO.",elogio
Atendimento muito eficaz e com bastante conhecimento técnico. Ótimo.,elogio
"Havia urgência para atendimento. Pedido realizado as 14:00 e tentativa de atendimento às 15:00. Tivemos solucionar o problema através de tentativas, que poderia ter ocasionado algum problema.",reclamação
" O chamado não foi resolvido mas, o atendimento muito bom !...",neutro
Muito eficaz o atendimento.,elogio
"O colaborador foi ótimo, muito ágil!",elogio
embora a pessoa que atendeu tenha sido cordial e paciente.,reclamação
não resolvel,reclamação
"Apenas o software Internet Explorer 64 bits está permitindo o acesso ao site do Banco do Brasil. Quanto ao Internet Explorer 32 bits, sempre é solicitado a instalação do Módulo de Segurança do BB para essa versão, mas a minha chave não possuo delegação para instalá-lo.",reclamação
Obrigado.,elogio
Obrigado.,elogio
otimo atendimento,elogio
"Notes havia sido reinstalado mas em versão antiga, diferente da que se encontrava no computador, sem a funcionalidade de videoconferência. Foi necessário abrir outro vhamado para efetuar a atualização.",reclamação
Não foi verificado no local informado a instalação de mais um ponto de rede.,neutro
Sistema inoperante,reclamação
Serviço muito bem feito,neutro
Sistema inoperante,reclamação
Perfil de acesso do SAP estava fora do ar.,neutro
pronto atendimento.,neutro
"Até o momento eu tenho sido bem atendido, fico muito agradecido pelos bons serviços prestados.",neutro
OBRIGADO PELA ATENÇÃO....,elogio
Serviço não concluído por motivo de indisponibilidade de mão de obra para acompanhar o acesso remoto.,neutro
porém não dependeu do atendente,neutro
Fiquei satisfeito com o prazo do atendimento.,elogio
Serviços precisam ser complementados.,neutro
"a solcitação foi encerrada, sem resolver o problema. Além disso, recebo um comunicado solicitando que eu procure outra área.",reclamação
"Esta é a terceira vez que mando a mesma mensagem e recebo a resposta de que o banco de dados foi atualizado. O relatório do mês seguinte vem com a correção solicitada, porém após alguns meses volta a constar o micro computador sob minha responsabilidade. Espero que desta vez a correção seja permanente.",reclamação
Foi muito bem atendida!,elogio
A solução dependia da ação do Suporte do SGE. O que já foi realizado,neutro
1) O chamado não foi escalonado como solicitado desde a ligação inicial.  2) A falha foi solucionada por outra equipe.  3) Tratou-se de falha sistêmica com grande impacto para todos os usuários PETROBRAS conforme informado no chamado inicial.  4) Não observei no fechamendo do Registro o escalonamento gerencial que solicitei para correção de possível falha no processo.,reclamação
MICRO SEM ACESSO REMOTO,neutro
excelente atendimento,elogio
Satisfeito com a atenção dada.,elogio
O Plug in instalado não está no PC.,neutro
Serviço concluido. TKS.,elogio
Ótimo atendimento!,elogio
Dependia de um centralizador da área.,neutro
Excelente atendimento!  RÁPIDO E  EFICAZ!,elogio
ATENDIMENTO MUITO BOM,elogio
tudo ok,neutro
"A TIC não realizou transferência dos dados conforme DIP,  e o mesmo vem gerando problemas no acesso.",reclamação
Excelente,elogio
Atendimento muito bom !,elogio
Otimo,elogio
ronto atendimento. OK. ,elogio
Excelente atendimento,elogio
O técnico Carlos está de parabéns. Excelente profissional.,elogio
Não há o que comentar já que a solicitação não foi atendida.,reclamação
Ótimo atendimento.,elogio
Foi instalado ícone na área de trabalho para solucionar o problema toda vez que voltasse a ocorrer até chegar a solução definitiva.,neutro
Apresentou eficiência e atendimento rápido,neutro
Senha não funcionou,neutro
ATENDIMENTO REALIZADO COM EFICIÊNCIA.,elogio
Atendimento bem atencioso e solícito!,elogio
Parabenizo a equipe da TIC pelo trabalho apresentado e solucionado.,elogio
A limpeza foi sugerida pelo atendimento e não solicitada por mim. De qualquer forma agradeço.,neutro
Bastante eficaz.,neutro
ESCELENTE ATENDIMENTO,elogio
pronto atendimento. OK. A+++,elogio
Atendimento ágil e prestativo,elogio
"O profissional, chave NSDW, foi altamente prestativo, solucionou com precisão e rapidez a solicitação. Gostaria de registrar um elogio.",elogio
"solicitamos alteração no horário com antecedencia, mas o sistema estava fora, tendo que solicitar novamente hoje pela manhã e não foi atendido por estar em cima da hora.",reclamação
Agradeço a presteza no atendimento,elogio
"A mudança aconteceu antes do esperado. Essa equipe é um espetáculo! Parabéns a todos, principalmente ao Thiago Marcel, sempre muito prestativo e educado.",neutro
"Muito bom, atendimento profissional.",elogio
"A situação foi resolvida, porém acho que o tempo para a resolução foi muito longo. ",neutro
ATENDIMENTO RÁPIDO E EFICIENTE.,elogio
Agil e com rapidez,elogio
Atendente simpatica e prestativa. Parabens!,elogio
excelente,elogio
"Após reportar o problema, fui informado para aguardar contato, o que ainda não ocorreu.",reclamação
Atendimento rapido e eficaz.,elogio
O chamado foi resolvido e com muita agilidade como eu precisava..,elogio
"Muito rápido o atendimento, parabéns.",elogio
Excelente atendimento ,elogio
ótimo atendimento,elogio
NOTA 10 EM QUALIDADE DE ATENDIMENTO DESTA FUNCIONÁRIA...,neutro
ATENDIMENTO COM EFICIENCIA.,elogio
Obrigada pelo pronto atendimento!,elogio
Atendimento rápido e solucionado,elogio
"O sistema de distribuição de energia pelo piso (caixa de tomadas) em alumínio é inadequado para uma aplicação como a de um escritório, onde não tem intempéries, tampouco há pessoas passando por cima da tampa. O recomendável seria um sistema deste tipo de material plástico carregado (para ter resistência mecânica) e fosse fácil de destampar a caixa, ao contrário do alumínio que engripa - o que torna difícil de tirar a tampa da caixa de tomadas para verificar o que está acontecendo e para abri-la é necessário puxar os fios como o funcionário da TIC fez, o que é um ato inseguro.",neutro
"Funcionou no Polycom, mas não funcionou na CI (via Notes).",reclamação
Super agil !,neutro
Atendente muito atencioso e objetivo.,elogio
Excelente atendimento,elogio
òtimo atendimento!,elogio
"Creio que o procedimento de instalação está inadequado, pois sempre que tento fazer a atualização com auxílio do suporte técnico, encontramos erros e não se consegue completar a atualização. Acredito que o ""Terminal Trusteer"" não deve ser instalado. Após esta ultima tentativa estou experimentando diversas instabilidades nos navegadores e no Lotus Notes.",reclamação
"Ao incluir as chaves dos colaboradores como membro de comissão, o colaborador Marcelo Ferreira (chave CJR5) ainda se mantém bloqueado.",reclamação
Embora eu reconheça que o  técnico da TI tenha feito um enorme esforço continua aparecendo uma mensagem numa caixa de texto que diz algo sobre parametrizada. ,neutro
ATENDIDO,neutro
Atendimento excelente!!,elogio
A atendente ficou de retornar a ligação para saber se havia sido sanado o problema e encerrou o chamado sem ter solucionado.,reclamação
Obrigada!!,elogio
tudo ok,neutro
Nem sequer fui contactado. Continuo aguardando,reclamação
"Eles repassaram o problema para o CLVP e EFHZ (chaves), pois não eram capaz de resolver o problema, pode isso?",reclamação
Grato pelo pronto atendimento!! ,elogio
"Atendimento foi rápido e eficiente. Resolveu o problema de lentidão do micro, melhorando consideravelmente o desempenho.",elogio
"Apesar da cordialidade e bom atendimento realizado, o problema voltou a aparecer cerca de 30 minutos depois de encerrado o chamado.",reclamação
Rápido e eficiente.,elogio
Continuo aguardando o Atendimento Nº INC000022167770.,reclamação
Parabens pelo apoio prestado.,elogio
Muito bom atendimento!!!!,elogio
muito bom atendimento,elogio
Excelente atendimento,elogio
Atendimento feito com 100% de aproveitamento. Grato,elogio
Excelente atendimento.,elogio
"O técnico fechou o chamado, porém esqueceu de orientar o cliente a emitir o DIP para solicitar a substituição do aparelho danificado.",reclamação
atendimento excelente.,elogio
"O primeiro atendimento foi realizado com mais de 30´, e teve que ser repassado a outro profissional que concluiu a solicitação. ",reclamação
O problema foi descoberto no momento do atendimento de outra solicitação. O atendente teve proatividade de resolver o problema.,neutro
Excelente atendimento. O tecnico mostrou muita competência.,elogio
Ótimo atendimento.,elogio
Serviço bem resolvido.,elogio
ótimo atendimento.,elogio
Ótimo atendimento da sra. Flávia!,elogio
Muito satisfeito,elogio
Serviço foi rápido e eficiente.,elogio
OBRIGADO !,elogio
excelente atendimento!!,elogio
A chamada foi principalmente devido a SPAM no email.,neutro
As limitações do carrinho não permitem.,reclamação
Ótimo atendimento.,elogio
Excelente atendimento.,elogio
"Estou desde novembro sem acesso a essa função, que está acarretando um trabalho muito maior para desempenhar minhas funções. O único gestor está em férias e isto é um incidente que precisa ser resolvido. É inadimissível que seja delegado apenas uma pessoa para uma função, porque a empresa paga milhões de d[ólares pelo SAP e a resolutividade das questões são muuito lentas. Os demais serviços do 881 são excelentes e nestes anos me sinto bem atendida, mas em relação ao SAP é extremamente lenta a resolução dos problemas. ",reclamação
acionei duas vezes o serviço 881 sem resolução do problema. Pediram-me para trocar a senha duas vezes e não obtive resolução. Não consigo acessar meu contracheque via internet com a senha extranet,reclamação
Atendimento excelente.,elogio
O atendente foi muito hábil na busca pela solução do problema.,elogio
"Foi atendida por Elizeu, pessoa bastante paciente e conhecedor do assunto. Otimo atentimento de Elizeu. nota 10",elogio
"Atendimento objetivo, eficiente e rápido.",elogio
bom atendimento,elogio
continuo sem conseguir acessar meu contracheque via internet com a senha extranet,reclamação
não havia o que resolver.,neutro
"Não concluido, ao ligar achamos o numero da sala e não foi necessario obter a informação",neutro
Atentende educado e bem informado!,elogio
"Sempre que necessito abrir um chamado através do telefone, o atendente em questão informa que a ligação está muito baixa e que não consegue me ouvir. Como o fato é recorrente e relatado por outros colegas usuários do serviço, entendo que trata-se de problema no sistema, o qual dificulta o andamento do chamado, sendo necessário falar gritando ao telefone para sermos entendidos, além de precisarmos repetir diversas vezes a mesma informação para ser compreendida pelos atendentes. Solicito ação da TIC a fim de promover melhoria na ferramenta.",reclamação
Atendimento rápido e eficiente! ,elogio
Muito solícita,neutro
com presteza,neutro
"Precisamos desburocratizar o atendimento. Se eu faço um 881 com o problema e a ""solução"" acaba sendo notificar o problema por outra ferramenta (e-mail, botão tic, DIP), me parece que o sistema é pouco inteligente.",reclamação
"Excelente atendimento, totalmente satisfeito.",elogio
O atendente não dispunha da informação completa e me repassou para o setor  específico. Parte da minha solicitação foi atendida,neutro
Parabéns pra Natália!,elogio
Atendimento satisfatório,elogio
Atendente rapido e eficiente.,elogio
ATENDIMENTO EXCELENTE-ATENDIMENTO EM CARATER DE URGÊNCIA,elogio
atendimento satisfatório,elogio
Atendimento satisfatório,elogio
O atendimento foi feito com sucesso. Parabéns!,elogio
O chamado foi fechado por engano. Enviada nova solicitação,reclamação
"Foi informado que este é um caso antigo conhecido e que está sendo tratado, mas sem previsão de solução.",reclamação
Favor registrar elogio a presteza do atendimento.,elogio
Ótimo atendimento,elogio
Realizada pelo apoio local a atualização do navegador Internet Explorer para a versão 10.0.,neutro
Grande cordialidade por parte do atendente técnico. Parabens!!!,elogio
O rapaz que cuida da impressora (Lucas) é muito prestativo.,neutro
Foram 4 chamados para o mesmo problema e sem solução.,reclamação
ATENDENTE ACIMA DA MÉDIA.,elogio
"Agradeco a gentileza, atenção e atendimento prestado pela atendente.",elogio
Muito rápido. Excelente.,elogio
"O problema era do arquivo, por isso não foi resolvido.",neutro
Atendimento muito bom.,elogio
"O chamado foi para a atualização do pulgin do Banco do Brasil. O problema persiste, a mensagem de necesidade de atualização permanece.",reclamação
processo para redefinição do formato de data do windows foi bem demorado.,neutro
Atendimento muito bom.,elogio
O atendimento foi muito rápido e eficiente. O problema foi resolvido em poucos minutos.,elogio
O atendente Greissom foi muito gentil e prestativo! Superou as expectativas,elogio
"Quando o técnico chegou ao local, já tínhamos conseguido conectar a vídeo conferência com apoio de funcionário da própria área. O tecnico só chegou ao local depois das 13:30. O chamado solicitava o apoio às 13h e todos na sala ficaram aguardando, inclusive o GG.    ",reclamação
Suporte não foi necessário e a ligação foi cancelada logo após o atendimento do apoio.,reclamação
o atendimento foi muito bom.,elogio
atendimento impecável. muito obrigado,elogio
Excelente atendimento!  Muito profissionalismo e dedicação. Parabéns.!!!,elogio
"O tempo gasto no atendimento foi muito longo, cerca de 2 horas.",neutro
ótimo!,elogio
Atendimento e Orientação excelente.,elogio
Excelente atendimento.!  Precisamos de profissionais com esse nível.,elogio
Excelente o atendimento do técnico Lucas.,elogio
Muito bem atendido pela Bruna,elogio
Sem comentários,neutro
não obtive a resposta completa,reclamação
Atendimento satisfatório,neutro
Atendimento e prestatividade excelentes!,elogio
Ótimo atendimento!,elogio
Não instalou o plugin mais atual,reclamação
